time_seconds,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
4.030466,0.349553,2.415750,9.136273,0.042150,-0.037263,-0.008552,0.97558153,0.13606746,-0.00185933,0.17240345
4.050009,0.426168,2.504335,9.088389,-0.014050,-0.008552,0.009163,0.97555822,0.13629596,-0.00209145,0.17235225
4.070205,0.735020,2.525883,9.325416,-0.056200,0.010996,-0.010996,0.97555697,0.13605475,-0.00215523,0.17254893
4.090497,0.639252,2.513912,9.526528,-0.031765,-0.015882,-0.047037,0.97543967,0.13543998,-0.00199927,0.17369382
4.110405,0.299275,2.497152,9.512163,0.003665,-0.018326,-0.041539,0.97537732,0.13509892,-0.00208218,0.17430705
4.130463,0.258574,2.384625,9.323022,0.010996,-0.042150,0.003054,0.97538871,0.13509439,-0.00214649,0.17424658
4.150508,0.531513,2.408567,9.157822,-0.014661,-0.089797,0.048869,0.97539294,0.13509136,-0.00243052,0.17422113
4.170591,0.785298,2.549825,9.334992,-0.058032,-0.106901,0.020159,0.97549057,0.13496527,-0.00344294,0.17375517
4.190542,0.588974,2.537854,9.512163,-0.048869,-0.106291,-0.028100,0.97588176,0.13454460,-0.00489810,0.17183927
4.210842,0.316035,2.545036,9.423578,-0.031154,-0.064752,-0.025656,0.97626126,0.13422403,-0.00619655,0.16988127
4.230451,0.462081,2.468422,9.306262,-0.038485,-0.034819,0.007330,0.97646797,0.13398895,-0.00685066,0.16885050
4.251206,0.603339,2.487576,9.495404,-0.045204,-0.064752,0.014661,0.97664785,0.13362572,-0.00725850,0.16807894
4.270719,0.545878,2.461239,9.607931,-0.008552,-0.056200,-0.004276,0.97669005,0.13326015,-0.00791913,0.16809429
4.290946,0.385466,2.401384,9.334992,0.007941,-0.016493,-0.008552,0.97672957,0.13320602,-0.00840120,0.16788378
4.310805,0.543484,2.454057,9.375694,-0.006720,-0.034819,0.010385,0.97678190,0.13318536,-0.00837708,0.16759692
4.330991,0.536301,2.418144,9.483433,-0.004276,-0.003054,0.004276,0.97679693,0.13307647,-0.00860879,0.16758415
4.351040,0.454898,2.403779,9.215282,-0.001222,0.025045,0.002443,0.97703111,0.13291009,-0.00870350,0.16634093
